epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.523,0.97038,1.20581,1.20686,0.23349,0.06067,0.02321,0.01047,2.62938,4.96019,2.78631,0.0033254,0.0033254,0.0700714
2,406.801,0.88394,0.89803,1.15466,0.69666,0.60268,0.65252,0.46749,1.10123,1.32177,1.3579,0.00652689,0.00652689,0.0399396
3,606.892,0.80959,0.77858,1.1152,0.89397,0.86743,0.92098,0.75648,0.70022,0.62927,1.03178,0.00959638,0.00959638,0.00967574
4,808.077,0.76986,0.72275,1.09699,0.84845,0.78039,0.86453,0.69156,0.76108,0.93208,1.0786,0.009406,0.009406,0.009406
5,1007.61,0.73964,0.67571,1.07933,0.92583,0.9087,0.95453,0.834,0.54618,0.47488,0.93808,0.009208,0.009208,0.009208
6,1207.74,0.71452,0.64006,1.06246,0.86074,0.79806,0.87327,0.7118,0.73446,0.75205,1.05111,0.00901,0.00901,0.00901
7,1407.71,0.69476,0.60927,1.05321,0.88822,0.85821,0.90985,0.76869,0.64495,0.61517,0.99975,0.008812,0.008812,0.008812
8,1607.26,0.67786,0.58886,1.04432,0.9084,0.87529,0.93143,0.79234,0.61511,0.54749,0.98848,0.008614,0.008614,0.008614
9,1806.91,0.67578,0.5814,1.0426,0.90381,0.86753,0.92406,0.7895,0.61165,0.54802,0.9842,0.008416,0.008416,0.008416
10,2006.79,0.6622,0.56538,1.03451,0.94207,0.93515,0.96775,0.86486,0.49849,0.40277,0.90853,0.008218,0.008218,0.008218
11,2206.61,0.65253,0.55144,1.03084,0.93196,0.91207,0.95475,0.83064,0.57658,0.44668,0.95711,0.00802,0.00802,0.00802
12,2406.12,0.64076,0.53696,1.02339,0.92077,0.89539,0.94631,0.826,0.55095,0.46725,0.94813,0.007822,0.007822,0.007822
13,2605.68,0.63616,0.52805,1.0197,0.95353,0.94049,0.9738,0.87611,0.48406,0.37581,0.89642,0.007624,0.007624,0.007624
14,2805.73,0.62515,0.51724,1.01228,0.93859,0.91519,0.95737,0.84637,0.52458,0.43875,0.92749,0.007426,0.007426,0.007426
15,3005.33,0.62403,0.51486,1.01183,0.92772,0.89464,0.94321,0.82411,0.54987,0.47061,0.94438,0.007228,0.007228,0.007228
16,3205.14,0.61519,0.50149,1.00782,0.9459,0.93562,0.97016,0.86924,0.4995,0.38492,0.90496,0.00703,0.00703,0.00703
