epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.321,0.781,0.75255,0.95987,0.9266,0.92988,0.95695,0.77322,0.63522,0.44938,0.88194,0.000332927,0.000332927,0.0670402
2,300.109,0.7429,0.56175,0.93956,0.94027,0.94063,0.9668,0.79491,0.59263,0.41926,0.87302,0.000653069,0.000653069,0.034027
3,457.78,0.72269,0.52663,0.93414,0.94231,0.94503,0.96781,0.79319,0.61624,0.40272,0.87494,0.00096001,0.00096001,0.00100061
4,611.964,0.70116,0.49847,0.92654,0.94646,0.94588,0.9685,0.79782,0.60216,0.389,0.86933,0.0009406,0.0009406,0.0009406
5,770.347,0.68133,0.47142,0.92014,0.95048,0.94405,0.96767,0.79877,0.5918,0.36693,0.86957,0.0009208,0.0009208,0.0009208
6,928.006,0.669,0.45434,0.91514,0.9539,0.94989,0.972,0.7944,0.62475,0.36609,0.8692,0.000901,0.000901,0.000901
7,1081.14,0.65419,0.43894,0.90982,0.96203,0.9624,0.9795,0.82961,0.54007,0.32975,0.85355,0.0008812,0.0008812,0.0008812
8,1239.57,0.65262,0.43277,0.90995,0.95959,0.95493,0.97464,0.81681,0.56698,0.33488,0.85963,0.0008614,0.0008614,0.0008614
9,1392.61,0.64399,0.42423,0.90645,0.96558,0.9642,0.98103,0.83432,0.53237,0.32036,0.85085,0.0008416,0.0008416,0.0008416
10,1550.76,0.63825,0.41893,0.90463,0.96607,0.96427,0.98247,0.83472,0.53258,0.31785,0.85126,0.0008218,0.0008218,0.0008218
11,1709.27,0.63238,0.41429,0.90355,0.96181,0.96241,0.97781,0.81993,0.5714,0.32596,0.85462,0.000802,0.000802,0.000802
12,1862.42,0.6275,0.40972,0.90162,0.95632,0.94671,0.97016,0.80694,0.57648,0.33837,0.86274,0.0007822,0.0007822,0.0007822
13,2016.26,0.62415,0.40517,0.90107,0.95846,0.94536,0.97182,0.81379,0.56253,0.33806,0.86037,0.0007624,0.0007624,0.0007624
14,2168.11,0.61884,0.39825,0.89808,0.96725,0.96534,0.98227,0.83697,0.52897,0.30539,0.84703,0.0007426,0.0007426,0.0007426
15,2324.83,0.61559,0.39277,0.89728,0.97186,0.97057,0.98443,0.84536,0.51127,0.28973,0.84395,0.0007228,0.0007228,0.0007228
16,2483.33,0.61244,0.38965,0.897,0.96886,0.96521,0.98018,0.82766,0.55561,0.30553,0.85061,0.000703,0.000703,0.000703
17,2635.89,0.60628,0.38604,0.89522,0.9714,0.97078,0.98483,0.84504,0.51373,0.28882,0.84515,0.0006832,0.0006832,0.0006832
18,2789.39,0.60457,0.38215,0.89401,0.97259,0.9716,0.98532,0.8454,0.51166,0.28549,0.84398,0.0006634,0.0006634,0.0006634
19,2946.58,0.60649,0.38302,0.89417,0.97233,0.97,0.98371,0.84417,0.51436,0.28684,0.84364,0.0006436,0.0006436,0.0006436
20,3099.32,0.60115,0.37815,0.89346,0.97326,0.97074,0.98545,0.84657,0.50716,0.28243,0.84243,0.0006238,0.0006238,0.0006238
21,3255.11,0.59667,0.37534,0.89053,0.97271,0.97168,0.98484,0.8467,0.50859,0.27967,0.84212,0.000604,0.000604,0.000604
22,3413.1,0.59523,0.37237,0.89104,0.97446,0.97283,0.98532,0.84806,0.50519,0.27786,0.84127,0.0005842,0.0005842,0.0005842
23,3570.76,0.59304,0.36901,0.89024,0.97501,0.97335,0.98577,0.85055,0.50126,0.27333,0.84086,0.0005644,0.0005644,0.0005644
24,3728.25,0.58915,0.36162,0.88857,0.97555,0.97365,0.98593,0.85134,0.49813,0.27082,0.84009,0.0005446,0.0005446,0.0005446
25,3886.65,0.58913,0.36259,0.88845,0.97428,0.97199,0.98452,0.84374,0.52141,0.2785,0.84217,0.0005248,0.0005248,0.0005248
26,4039.79,0.58467,0.35971,0.88837,0.97648,0.97577,0.98656,0.85276,0.49433,0.26598,0.8394,0.000505,0.000505,0.000505
27,4197.71,0.58346,0.35716,0.88635,0.97555,0.97344,0.98576,0.85047,0.50339,0.27006,0.83993,0.0004852,0.0004852,0.0004852
