epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.569,0.97353,0.98203,1.15778,0.5158,0.37848,0.34162,0.22513,1.47088,1.97503,1.79769,0.00332564,0.00332564,0.0700693
2,425.119,0.91286,0.77353,1.12813,0.62486,0.47105,0.48929,0.30934,1.34008,1.76669,1.49678,0.00652712,0.00652712,0.0399374
3,633.065,0.85172,0.68582,1.0961,0.90587,0.87819,0.93588,0.74267,0.73504,0.56665,1.02842,0.00959661,0.00959661,0.00967359
4,841.104,0.81935,0.63202,1.08086,0.9133,0.88661,0.94499,0.75949,0.71559,0.53096,1.00203,0.009406,0.009406,0.009406
5,1050.15,0.79268,0.59418,1.06684,0.8868,0.8346,0.90791,0.70546,0.78779,0.60283,1.06099,0.009208,0.009208,0.009208
6,1258.83,0.76795,0.56556,1.05385,0.92742,0.91321,0.95438,0.77922,0.70344,0.4733,0.98791,0.00901,0.00901,0.00901
7,1467.28,0.75816,0.54794,1.04817,0.93233,0.91614,0.96066,0.80366,0.62627,0.43934,0.9645,0.008812,0.008812,0.008812
8,1675.81,0.74361,0.52867,1.04057,0.89561,0.87974,0.9293,0.76994,0.64649,0.51753,0.97371,0.008614,0.008614,0.008614
9,1883.57,0.73379,0.51754,1.03355,0.92173,0.88655,0.95051,0.77996,0.67422,0.48119,0.98036,0.008416,0.008416,0.008416
10,2090.7,0.72606,0.50618,1.03275,0.9437,0.92796,0.96771,0.81932,0.60384,0.40141,0.95263,0.008218,0.008218,0.008218
11,2298.09,0.71482,0.49125,1.02543,0.93172,0.90623,0.95946,0.80051,0.64012,0.45199,0.96875,0.00802,0.00802,0.00802
12,2505.42,0.70784,0.47999,1.02095,0.93965,0.91806,0.96488,0.81426,0.60415,0.41527,0.95474,0.007822,0.007822,0.007822
13,2712.5,0.70296,0.47361,1.01693,0.95228,0.93635,0.97331,0.83627,0.5735,0.3707,0.93124,0.007624,0.007624,0.007624
14,2919.77,0.69492,0.46408,1.0136,0.94376,0.92201,0.96666,0.80749,0.63528,0.4058,0.95718,0.007426,0.007426,0.007426
15,3126.99,0.69314,0.45979,1.01271,0.92786,0.89623,0.95148,0.78648,0.65735,0.43091,0.97366,0.007228,0.007228,0.007228
16,3334.22,0.68705,0.45397,1.01052,0.94786,0.93798,0.97135,0.83224,0.58224,0.36931,0.93683,0.00703,0.00703,0.00703
17,3541.57,0.67792,0.44043,1.00418,0.95487,0.94162,0.9762,0.84149,0.56151,0.35085,0.92834,0.006832,0.006832,0.006832
18,3748.91,0.68126,0.44403,1.0103,0.95279,0.93787,0.97384,0.83076,0.58689,0.35777,0.93668,0.006634,0.006634,0.006634
19,3955.84,0.67424,0.43813,1.0044,0.93847,0.9148,0.96171,0.80588,0.63387,0.41254,0.9619,0.006436,0.006436,0.006436
20,4162.7,0.67436,0.43947,1.00406,0.95993,0.93984,0.97719,0.84433,0.56366,0.34138,0.92699,0.006238,0.006238,0.006238
21,4370.03,0.6657,0.42934,1.00194,0.9604,0.94699,0.97851,0.85133,0.54391,0.33021,0.91823,0.00604,0.00604,0.00604
22,4577.31,0.66804,0.42661,1.00054,0.95491,0.94674,0.97665,0.84298,0.55828,0.33874,0.9238,0.005842,0.005842,0.005842
23,4784.46,0.65928,0.41761,0.99573,0.96107,0.94522,0.97769,0.84605,0.56597,0.3387,0.91992,0.005644,0.005644,0.005644
24,4991.58,0.65486,0.41358,0.99501,0.95566,0.9414,0.97672,0.84406,0.55842,0.33541,0.92563,0.005446,0.005446,0.005446
25,5198.66,0.65177,0.40813,0.99136,0.96128,0.95015,0.97926,0.85375,0.538,0.3148,0.91507,0.005248,0.005248,0.005248
26,5405.79,0.65014,0.40664,0.99118,0.96155,0.94323,0.97867,0.84505,0.55922,0.32685,0.92123,0.00505,0.00505,0.00505
27,5612.68,0.64918,0.4014,0.98879,0.96265,0.94845,0.9797,0.85559,0.5299,0.30938,0.91015,0.004852,0.004852,0.004852
28,5819.76,0.64175,0.39639,0.98478,0.95074,0.93234,0.97173,0.8308,0.58111,0.35801,0.93497,0.004654,0.004654,0.004654
29,6026.93,0.64006,0.39462,0.98533,0.96006,0.95071,0.97947,0.85124,0.54209,0.31285,0.91352,0.004456,0.004456,0.004456
30,6233.58,0.63503,0.39122,0.98228,0.9619,0.95089,0.98051,0.85543,0.53383,0.30713,0.90967,0.004258,0.004258,0.004258
31,6440.52,0.63694,0.38809,0.98419,0.95026,0.93616,0.97063,0.83324,0.57925,0.35173,0.93273,0.00406,0.00406,0.00406
32,6647.7,0.63017,0.381,0.98046,0.94909,0.927,0.97002,0.83302,0.5731,0.35617,0.9332,0.003862,0.003862,0.003862
33,6854.5,0.6328,0.38019,0.97981,0.96262,0.95322,0.98131,0.85903,0.52179,0.29673,0.90564,0.003664,0.003664,0.003664
34,7061.8,0.62106,0.37564,0.97759,0.96664,0.95255,0.98154,0.85998,0.51958,0.29246,0.9052,0.003466,0.003466,0.003466
35,7268.85,0.62143,0.37216,0.97617,0.96103,0.94934,0.97929,0.8575,0.52981,0.30528,0.90828,0.003268,0.003268,0.003268
36,7475.82,0.62,0.37008,0.97478,0.96458,0.95647,0.98233,0.86463,0.51641,0.28995,0.90244,0.00307,0.00307,0.00307
37,7683.03,0.61704,0.36502,0.97186,0.96394,0.95473,0.98205,0.86337,0.51635,0.28816,0.90175,0.002872,0.002872,0.002872
38,7890.08,0.61615,0.36377,0.97389,0.96631,0.95643,0.98245,0.86389,0.51293,0.28531,0.90103,0.002674,0.002674,0.002674
39,8097.04,0.61225,0.36074,0.97252,0.96373,0.95801,0.98198,0.86538,0.51068,0.28208,0.89929,0.002476,0.002476,0.002476
40,8304.28,0.61137,0.35538,0.96975,0.9685,0.95586,0.98283,0.86508,0.51592,0.28102,0.89904,0.002278,0.002278,0.002278
41,8511.63,0.55906,0.31198,0.93964,0.96762,0.95481,0.98193,0.86259,0.53511,0.29164,0.90221,0.00208,0.00208,0.00208
42,8718.33,0.55468,0.30616,0.93347,0.96552,0.9575,0.9828,0.86819,0.50744,0.27963,0.8957,0.001882,0.001882,0.001882
43,8924.98,0.55221,0.3017,0.93437,0.96749,0.95813,0.98273,0.8689,0.5128,0.27746,0.89524,0.001684,0.001684,0.001684
44,9131.98,0.54796,0.29838,0.93266,0.96566,0.95827,0.98197,0.86108,0.54732,0.28895,0.90297,0.001486,0.001486,0.001486
45,9338.56,0.5434,0.29387,0.93027,0.96694,0.95933,0.98248,0.86741,0.50894,0.2752,0.89683,0.001288,0.001288,0.001288
46,9545,0.53637,0.28771,0.9269,0.96593,0.95992,0.98288,0.86918,0.50667,0.27171,0.89453,0.00109,0.00109,0.00109
47,9751.63,0.5338,0.28288,0.92332,0.97021,0.95627,0.98285,0.86943,0.50519,0.27059,0.89356,0.000892,0.000892,0.000892
48,9958.33,0.53102,0.28006,0.92307,0.96682,0.96033,0.98262,0.87054,0.50491,0.26902,0.89402,0.000694,0.000694,0.000694
49,10164.8,0.52651,0.27701,0.92128,0.96775,0.95936,0.98285,0.87021,0.50422,0.26761,0.89304,0.000496,0.000496,0.000496
50,10371.3,0.52108,0.27219,0.91886,0.9668,0.95992,0.98262,0.86986,0.50515,0.26741,0.89319,0.000298,0.000298,0.000298
